(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.8958331942558289
(29), addressbook, State1:state233, State2:state538, Human Classification:2, cosine similarity: 0.8958331942558289
(30), addressbook, State1:state389, State2:state597, Human Classification:2, cosine similarity: 0.955729067325592
(31), addressbook, State1:state340, State2:state619, Human Classification:2, cosine similarity: 0.9322915077209473
(32), addressbook, State1:state566, State2:state703, Human Classification:1, cosine similarity: 0.9973958134651184
(33), addressbook, State1:state143, State2:state512, Human Classification:1, cosine similarity: 0.9270832538604736
(34), addressbook, State1:state64, State2:state349, Human Classification:2, cosine similarity: 0.9088540077209473
(35), addressbook, State1:state308, State2:state713, Human Classification:1, cosine similarity: 0.9895832538604736
(36), addressbook, State1:state589, State2:state715, Human Classification:2, cosine similarity: 0.8932291269302368
(37), addressbook, State1:state10, State2:state597, Human Classification:2, cosine similarity: 0.9010415077209473
(38), addressbook, State1:state138, State2:state560, Human Classification:2, cosine similarity: 0.8567707538604736
(39), addressbook, State1:state437, State2:state560, Human Classification:2, cosine similarity: 0.9505206942558289
(40), addressbook, State1:state520, State2:state550, Human Classification:1, cosine similarity: 0.9999999403953552
(41), addressbook, State1:state597, State2:state624, Human Classification:2, cosine similarity: 0.8697915077209473
(42), addressbook, State1:state27, State2:state257, Human Classification:2, cosine similarity: 0.5026041269302368
(43), addressbook, State1:state364, State2:state532, Human Classification:2, cosine similarity: 0.8828123807907104
(44), addressbook, State1:state3, State2:state624, Human Classification:2, cosine similarity: 0.8723957538604736
(45), addressbook, State1:state247, State2:state318, Human Classification:1, cosine similarity: 0.9895831942558289
(46), addressbook, State1:state6, State2:state293, Human Classification:2, cosine similarity: 0.8463540077209473
(47), addressbook, State1:state278, State2:state647, Human Classification:2, cosine similarity: 0.9296874403953552
(48), addressbook, State1:state173, State2:state355, Human Classification:2, cosine similarity: 0.8515623807907104
(49), addressbook, State1:state38, State2:state355, Human Classification:2, cosine similarity: 0.861979067325592
(50), addressbook, State1:state677, State2:state679, Human Classification:2, cosine similarity: 0.869791567325592
(51), addressbook, State1:state33, State2:state247, Human Classification:2, cosine similarity: 0.8437498807907104
(52), addressbook, State1:index, State2:state68, Human Classification:2, cosine similarity: 0.9192706942558289
(53), addressbook, State1:state252, State2:state269, Human Classification:1, cosine similarity: 0.9973957538604736
(54), addressbook, State1:state75, State2:state162, Human Classification:2, cosine similarity: 0.7994791269302368
(55), addressbook, State1:state269, State2:state400, Human Classification:1, cosine similarity: 0.994791567325592
(56), addressbook, State1:state6, State2:state434, Human Classification:2, cosine similarity: 0.8854165077209473
(57), addressbook, State1:state355, State2:state721, Human Classification:2, cosine similarity: 0.8932291269302368
(58), addressbook, State1:state249, State2:state703, Human Classification:1, cosine similarity: 0.9843749403953552
(59), addressbook, State1:state165, State2:state715, Human Classification:1, cosine similarity: 0.9479166269302368
(60), addressbook, State1:state187, State2:state400, Human Classification:2, cosine similarity: 0.9531248807907104
(61), addressbook, State1:state331, State2:state479, Human Classification:2, cosine similarity: 0.8828123807907104
(62), addressbook, State1:state692, State2:state697, Human Classification:1, cosine similarity: 0.9973958134651184
(63), addressbook, State1:state3, State2:state660, Human Classification:2, cosine similarity: 0.8723958134651184
(64), addressbook, State1:state138, State2:state721, Human Classification:2, cosine similarity: 0.8619791269302368
(65), addressbook, State1:state437, State2:state523, Human Classification:1, cosine similarity: 0.9999999403953552
(66), addressbook, State1:state455, State2:state721, Human Classification:2, cosine similarity: 0.8776041269302368
(67), addressbook, State1:state176, State2:state589, Human Classification:2, cosine similarity: 0.8854166269302368
(68), addressbook, State1:state346, State2:state355, Human Classification:2, cosine similarity: 0.8958332538604736
(69), addressbook, State1:state3, State2:state514, Human Classification:2, cosine similarity: 0.8489582538604736
(70), addressbook, State1:state308, State2:state536, Human Classification:1, cosine similarity: 0.9921874403953552
(71), addressbook, State1:state173, State2:state589, Human Classification:2, cosine similarity: 0.8515623807907104
(72), addressbook, State1:state211, State2:state378, Human Classification:2, cosine similarity: 0.947916567325592
(73), addressbook, State1:state412, State2:state589, Human Classification:1, cosine similarity: 0.9999999403953552
(74), addressbook, State1:state493, State2:state686, Human Classification:2, cosine similarity: 0.8984374403953552
(75), addressbook, State1:state318, State2:state713, Human Classification:1, cosine similarity: 0.9895832538604736
(76), addressbook, State1:state29, State2:state57, Human Classification:2, cosine similarity: 0.8828123211860657
(77), addressbook, State1:index, State2:state216, Human Classification:2, cosine similarity: 0.8437499403953552
(78), addressbook, State1:state400, State2:state512, Human Classification:1, cosine similarity: 0.9973957538604736
(79), addressbook, State1:state165, State2:state420, Human Classification:1, cosine similarity: 0.9505207538604736
(80), addressbook, State1:state57, State2:state532, Human Classification:2, cosine similarity: 0.8723957538604736
(81), addressbook, State1:state275, State2:state523, Human Classification:2, cosine similarity: 0.955729067325592
(82), addressbook, State1:state257, State2:state293, Human Classification:2, cosine similarity: 0.8906248807907104
(83), addressbook, State1:state403, State2:state668, Human Classification:2, cosine similarity: 0.901041567325592
(84), addressbook, State1:state344, State2:state378, Human Classification:2, cosine similarity: 0.947916567325592
(85), addressbook, State1:state5, State2:state397, Human Classification:2, cosine similarity: 0.885416567325592
(86), addressbook, State1:state187, State2:state647, Human Classification:2, cosine similarity: 0.8723957538604736
(87), addressbook, State1:state3, State2:state543, Human Classification:2, cosine similarity: 0.7942707538604736
(88), addressbook, State1:state278, State2:state355, Human Classification:1, cosine similarity: 0.994791567325592
(89), addressbook, State1:state321, State2:state560, Human Classification:1, cosine similarity: 0.9895832538604736
(90), addressbook, State1:state606, State2:state619, Human Classification:2, cosine similarity: 0.908854067325592
(91), addressbook, State1:state50, State2:state543, Human Classification:2, cosine similarity: 0.8437498807907104
(92), addressbook, State1:state54, State2:state150, Human Classification:2, cosine similarity: 0.955729067325592
(93), addressbook, State1:state257, State2:state318, Human Classification:2, cosine similarity: 0.8958332538604736
(94), addressbook, State1:state10, State2:state493, Human Classification:2, cosine similarity: 0.9427082538604736
(95), addressbook, State1:state29, State2:state432, Human Classification:2, cosine similarity: 0.8880207538604736
(96), addressbook, State1:state593, State2:state677, Human Classification:1, cosine similarity: 0.9999999403953552
(97), addressbook, State1:state432, State2:state526, Human Classification:1, cosine similarity: 0.9999999403953552
(98), addressbook, State1:state138, State2:state409, Human Classification:2, cosine similarity: 0.7994791269302368
(99), addressbook, State1:state364, State2:state709, Human Classification:2, cosine similarity: 0.8828123807907104
(100), addressbook, State1:state38, State2:state403, Human Classification:2, cosine similarity: 0.8515623807907104
(101), addressbook, State1:state54, State2:state727, Human Classification:2, cosine similarity: 0.8984373807907104
(102), addressbook, State1:state501, State2:state517, Human Classification:2, cosine similarity: 0.8749998807907104
(103), addressbook, State1:state50, State2:state606, Human Classification:2, cosine similarity: 0.9010415077209473
(104), addressbook, State1:state272, State2:state700, Human Classification:1, cosine similarity: 0.9999999403953552
(105), addressbook, State1:state187, State2:state378, Human Classification:1, cosine similarity: 0.971354067325592
(106), addressbook, State1:state459, State2:state638, Human Classification:2, cosine similarity: 0.8828124403953552
(107), addressbook, State1:state272, State2:state692, Human Classification:1, cosine similarity: 0.9973957538604736
(108), addressbook, State1:state150, State2:state638, Human Classification:2, cosine similarity: 0.9062498807907104
(109), addressbook, State1:state38, State2:state651, Human Classification:2, cosine similarity: 0.8098957538604736
(110), addressbook, State1:state647, State2:state651, Human Classification:2, cosine similarity: 0.8333332538604736
(111), addressbook, State1:state249, State2:state523, Human Classification:1, cosine similarity: 0.986979067325592
(112), addressbook, State1:state6, State2:state459, Human Classification:2, cosine similarity: 0.8802082538604736
(113), addressbook, State1:state318, State2:state589, Human Classification:2, cosine similarity: 0.893229067325592
(114), addressbook, State1:state272, State2:state668, Human Classification:2, cosine similarity: 0.9114581942558289
(115), addressbook, State1:state75, State2:state563, Human Classification:2, cosine similarity: 0.8515623807907104
(116), addressbook, State1:state455, State2:state713, Human Classification:2, cosine similarity: 0.8776041269302368
(117), addressbook, State1:state150, State2:state400, Human Classification:1, cosine similarity: 0.9479165077209473
(118), addressbook, State1:state257, State2:state520, Human Classification:2, cosine similarity: 0.893229067325592
(119), addressbook, State1:state54, State2:state392, Human Classification:2, cosine similarity: 0.9036456346511841
(120), addressbook, State1:state318, State2:state479, Human Classification:1, cosine similarity: 0.9921874403953552
(121), addressbook, State1:state349, State2:state718, Human Classification:1, cosine similarity: 0.9895832538604736
(122), addressbook, State1:state243, State2:state532, Human Classification:1, cosine similarity: 0.9791666269302368
(123), addressbook, State1:state143, State2:state703, Human Classification:1, cosine similarity: 0.924479067325592
(124), addressbook, State1:state252, State2:state489, Human Classification:1, cosine similarity: 0.971354067325592
(125), addressbook, State1:state10, State2:state677, Human Classification:2, cosine similarity: 0.8411457538604736
(126), addressbook, State1:state64, State2:state489, Human Classification:2, cosine similarity: 0.9010415077209473
(127), addressbook, State1:state523, State2:state681, Human Classification:1, cosine similarity: 0.9973958134651184
(128), addressbook, State1:state392, State2:state538, Human Classification:1, cosine similarity: 0.9973957538604736
(129), addressbook, State1:state211, State2:state489, Human Classification:1, cosine similarity: 0.971354067325592
(130), addressbook, State1:state443, State2:state706, Human Classification:1, cosine similarity: 0.9999999403953552
(131), addressbook, State1:state141, State2:state619, Human Classification:2, cosine similarity: 0.9270832538604736
(132), addressbook, State1:state165, State2:state597, Human Classification:1, cosine similarity: 0.9505207538604736
(133), addressbook, State1:state713, State2:state727, Human Classification:1, cosine similarity: 0.9999999403953552
(134), addressbook, State1:state340, State2:state575, Human Classification:2, cosine similarity: 0.8932291269302368
(135), addressbook, State1:state8, State2:state681, Human Classification:2, cosine similarity: 0.8437498807907104
(136), addressbook, State1:state68, State2:state493, Human Classification:2, cosine similarity: 0.9427082538604736
(137), addressbook, State1:state340, State2:state677, Human Classification:2, cosine similarity: 0.8880206346511841
(138), addressbook, State1:state27, State2:state331, Human Classification:2, cosine similarity: 0.4869791269302368
(139), addressbook, State1:index, State2:state138, Human Classification:2, cosine similarity: 0.9374999403953552
(140), addressbook, State1:state196, State2:state340, Human Classification:2, cosine similarity: 0.8906248807907104
(141), addressbook, State1:state165, State2:state593, Human Classification:2, cosine similarity: 0.861979067325592
(142), addressbook, State1:state321, State2:state493, Human Classification:2, cosine similarity: 0.869791567325592
(143), addressbook, State1:state506, State2:state566, Human Classification:1, cosine similarity: 0.9999999403953552
(144), addressbook, State1:state68, State2:state378, Human Classification:2, cosine similarity: 0.8906248807907104
(145), addressbook, State1:state33, State2:state344, Human Classification:2, cosine similarity: 0.8385415077209473
(146), addressbook, State1:state443, State2:state656, Human Classification:2, cosine similarity: 0.901041567325592
(147), addressbook, State1:state39, State2:state397, Human Classification:2, cosine similarity: 0.7552082538604736
(148), addressbook, State1:state275, State2:state512, Human Classification:2, cosine similarity: 0.955729067325592
(149), addressbook, State1:state331, State2:state464, Human Classification:2, cosine similarity: 0.8932290077209473
(150), addressbook, State1:state239, State2:state403, Human Classification:2, cosine similarity: 0.9036457538604736
(151), addressbook, State1:state150, State2:state697, Human Classification:1, cosine similarity: 0.9427082538604736
(152), addressbook, State1:state403, State2:state479, Human Classification:1, cosine similarity: 0.9999999403953552
(153), addressbook, State1:state50, State2:state697, Human Classification:2, cosine similarity: 0.8984373807907104
(154), addressbook, State1:state479, State2:state706, Human Classification:1, cosine similarity: 0.9973958134651184
(155), addressbook, State1:state54, State2:state634, Human Classification:2, cosine similarity: 0.9427082538604736
(156), addressbook, State1:state6, State2:state619, Human Classification:2, cosine similarity: 0.9114581942558289
(157), addressbook, State1:state412, State2:state560, Human Classification:2, cosine similarity: 0.8619790077209473
(158), addressbook, State1:state355, State2:state593, Human Classification:2, cosine similarity: 0.8880206346511841
(159), addressbook, State1:state196, State2:state412, Human Classification:2, cosine similarity: 0.8906248807907104
(160), addressbook, State1:state29, State2:state520, Human Classification:2, cosine similarity: 0.885416567325592
(161), addressbook, State1:index, State2:state29, Human Classification:2, cosine similarity: 0.9114582538604736
(162), addressbook, State1:state321, State2:state437, Human Classification:2, cosine similarity: 0.9531248807907104
(163), addressbook, State1:state38, State2:state713, Human Classification:2, cosine similarity: 0.8489582538604736
(164), addressbook, State1:state293, State2:state407, Human Classification:2, cosine similarity: 0.8958331942558289
(165), addressbook, State1:state459, State2:state593, Human Classification:2, cosine similarity: 0.8333331942558289
(166), addressbook, State1:state24, State2:state252, Human Classification:2, cosine similarity: 0.7369791269302368
(167), addressbook, State1:state162, State2:state550, Human Classification:2, cosine similarity: 0.8671873807907104
(168), addressbook, State1:state432, State2:state718, Human Classification:1, cosine similarity: 0.9973958134651184
(169), addressbook, State1:state64, State2:state593, Human Classification:2, cosine similarity: 0.8411457538604736
(170), addressbook, State1:state150, State2:state252, Human Classification:1, cosine similarity: 0.9557290077209473
(171), addressbook, State1:state412, State2:state493, Human Classification:2, cosine similarity: 0.9296874403953552
(172), addressbook, State1:state211, State2:state331, Human Classification:2, cosine similarity: 0.8749999403953552
(173), addressbook, State1:state29, State2:state489, Human Classification:2, cosine similarity: 0.8880207538604736
(174), addressbook, State1:state38, State2:state619, Human Classification:2, cosine similarity: 0.8437498807907104
(175), addressbook, State1:state275, State2:state606, Human Classification:2, cosine similarity: 0.955729067325592
(176), addressbook, State1:state165, State2:state647, Human Classification:2, cosine similarity: 0.9270832538604736
(177), addressbook, State1:state432, State2:state713, Human Classification:1, cosine similarity: 0.9973958134651184
(178), addressbook, State1:state479, State2:state543, Human Classification:2, cosine similarity: 0.8749999403953552
(179), addressbook, State1:state38, State2:state138, Human Classification:2, cosine similarity: 0.8671873807907104
(180), addressbook, State1:state233, State2:state517, Human Classification:2, cosine similarity: 0.8984374403953552
(181), addressbook, State1:state138, State2:state718, Human Classification:2, cosine similarity: 0.8619791269302368
(182), addressbook, State1:state162, State2:state315, Human Classification:2, cosine similarity: 0.8723957538604736
(183), addressbook, State1:state508, State2:state563, Human Classification:1, cosine similarity: 0.9999999403953552
(184), addressbook, State1:state173, State2:state243, Human Classification:2, cosine similarity: 0.8776040077209473
(185), addressbook, State1:state38, State2:state196, Human Classification:2, cosine similarity: 0.8723957538604736
(186), addressbook, State1:state269, State2:state464, Human Classification:2, cosine similarity: 0.8958332538604736
(187), addressbook, State1:state6, State2:state493, Human Classification:2, cosine similarity: 0.9010415077209473
(188), addressbook, State1:state543, State2:state638, Human Classification:2, cosine similarity: 0.7890624403953552
(189), addressbook, State1:state10, State2:state409, Human Classification:2, cosine similarity: 0.8515624403953552
(190), addressbook, State1:state143, State2:state520, Human Classification:1, cosine similarity: 0.9270832538604736
(191), addressbook, State1:state50, State2:state624, Human Classification:2, cosine similarity: 0.8984373807907104
(192), addressbook, State1:state403, State2:state660, Human Classification:2, cosine similarity: 0.8749998807907104
(193), addressbook, State1:state54, State2:state173, Human Classification:2, cosine similarity: 0.9322915077209473
(194), addressbook, State1:state355, State2:state514, Human Classification:2, cosine similarity: 0.8958332538604736
(195), addressbook, State1:state315, State2:state443, Human Classification:1, cosine similarity: 0.9973957538604736
(196), addressbook, State1:state310, State2:state563, Human Classification:1, cosine similarity: 0.9921874403953552
(197), addressbook, State1:state697, State2:state703, Human Classification:1, cosine similarity: 0.9999999403953552
(198), addressbook, State1:state5, State2:state619, Human Classification:2, cosine similarity: 0.9166665077209473
(199), addressbook, State1:state508, State2:state677, Human Classification:2, cosine similarity: 0.8723957538604736
(200), addressbook, State1:state196, State2:state575, Human Classification:1, cosine similarity: 0.9895832538604736
(201), addressbook, State1:state39, State2:state713, Human Classification:2, cosine similarity: 0.7526041269302368
(202), addressbook, State1:state715, State2:state718, Human Classification:1, cosine similarity: 0.9999999403953552
(203), addressbook, State1:state211, State2:state249, Human Classification:1, cosine similarity: 0.9921874403953552
(204), addressbook, State1:state57, State2:state721, Human Classification:2, cosine similarity: 0.869791567325592
(205), addressbook, State1:state249, State2:state543, Human Classification:2, cosine similarity: 0.8697916269302368
(206), addressbook, State1:state697, State2:state713, Human Classification:1, cosine similarity: 0.9999999403953552
(207), addressbook, State1:state489, State2:state560, Human Classification:2, cosine similarity: 0.9505206942558289
(208), addressbook, State1:state407, State2:state432, Human Classification:1, cosine similarity: 0.9999999403953552
(209), addressbook, State1:state293, State2:state538, Human Classification:2, cosine similarity: 0.893229067325592
(210), addressbook, State1:state64, State2:state529, Human Classification:2, cosine similarity: 0.9010415077209473
(211), addressbook, State1:state165, State2:state455, Human Classification:2, cosine similarity: 0.869791567325592
(212), addressbook, State1:state143, State2:state403, Human Classification:1, cosine similarity: 0.9270832538604736
(213), addressbook, State1:state50, State2:state165, Human Classification:2, cosine similarity: 0.9505206346511841
(214), addressbook, State1:state514, State2:state697, Human Classification:1, cosine similarity: 0.9973958134651184
(215), addressbook, State1:state38, State2:state364, Human Classification:2, cosine similarity: 0.854166567325592
(216), addressbook, State1:state176, State2:state349, Human Classification:1, cosine similarity: 0.9661457538604736
(217), addressbook, State1:state165, State2:state532, Human Classification:1, cosine similarity: 0.9505207538604736
(218), addressbook, State1:state202, State2:state315, Human Classification:2, cosine similarity: 0.9505207538604736
(219), addressbook, State1:state150, State2:state269, Human Classification:1, cosine similarity: 0.9531248807907104
(220), addressbook, State1:state38, State2:state464, Human Classification:2, cosine similarity: 0.861979067325592
(221), addressbook, State1:state33, State2:state560, Human Classification:2, cosine similarity: 0.8645831942558289
(222), addressbook, State1:state257, State2:state690, Human Classification:2, cosine similarity: 0.8906249403953552
(223), addressbook, State1:state506, State2:state724, Human Classification:1, cosine similarity: 0.9973958134651184
(224), addressbook, State1:state489, State2:state724, Human Classification:1, cosine similarity: 0.9010416269302368
(225), addressbook, State1:state33, State2:state520, Human Classification:2, cosine similarity: 0.8359373807907104
(226), addressbook, State1:state679, State2:state713, Human Classification:1, cosine similarity: 0.9973958134651184
(227), addressbook, State1:index, State2:state589, Human Classification:2, cosine similarity: 0.854166567325592
(228), addressbook, State1:state523, State2:state674, Human Classification:2, cosine similarity: 0.8723956942558289
(229), addressbook, State1:state517, State2:state709, Human Classification:1, cosine similarity: 0.9973958134651184
(230), addressbook, State1:state33, State2:state64, Human Classification:2, cosine similarity: 0.869791567325592
(231), addressbook, State1:state187, State2:state397, Human Classification:2, cosine similarity: 0.9531248807907104
(232), addressbook, State1:state24, State2:state709, Human Classification:2, cosine similarity: 0.729166567325592
(233), addressbook, State1:state54, State2:state165, Human Classification:2, cosine similarity: 0.9505206346511841
(234), addressbook, State1:state199, State2:state243, Human Classification:1, cosine similarity: 0.9921874403953552
(235), addressbook, State1:state434, State2:state566, Human Classification:1, cosine similarity: 0.9999999403953552
(236), addressbook, State1:state27, State2:state464, Human Classification:2, cosine similarity: 0.4947916269302368
(237), addressbook, State1:state24, State2:state724, Human Classification:2, cosine similarity: 0.729166567325592
(238), addressbook, State1:state239, State2:state536, Human Classification:2, cosine similarity: 0.9010416269302368
(239), addressbook, State1:state199, State2:state674, Human Classification:2, cosine similarity: 0.8880206942558289
(240), addressbook, State1:state39, State2:state344, Human Classification:2, cosine similarity: 0.7552082538604736
(241), addressbook, State1:state257, State2:state409, Human Classification:2, cosine similarity: 0.8932291269302368
(242), addressbook, State1:state344, State2:state647, Human Classification:2, cosine similarity: 0.9036457538604736
(243), addressbook, State1:state57, State2:state211, Human Classification:2, cosine similarity: 0.8802081942558289
(244), addressbook, State1:state364, State2:state407, Human Classification:2, cosine similarity: 0.885416567325592
(245), addressbook, State1:state520, State2:state697, Human Classification:1, cosine similarity: 0.9973958134651184
(246), addressbook, State1:state679, State2:state727, Human Classification:1, cosine similarity: 0.9973958134651184
(247), addressbook, State1:state27, State2:state523, Human Classification:2, cosine similarity: 0.5026041269302368
(248), addressbook, State1:state39, State2:state489, Human Classification:2, cosine similarity: 0.7552082538604736
(249), addressbook, State1:state233, State2:state679, Human Classification:2, cosine similarity: 0.8958331942558289
(250), addressbook, State1:state54, State2:state713, Human Classification:2, cosine similarity: 0.8984373807907104
(251), addressbook, State1:state10, State2:state50, Human Classification:0, cosine similarity: 0.9999999403953552
(252), addressbook, State1:state199, State2:state378, Human Classification:2, cosine similarity: 0.9453123807907104
(253), addressbook, State1:state33, State2:state321, Human Classification:2, cosine similarity: 0.8749998807907104
(254), addressbook, State1:state243, State2:state349, Human Classification:1, cosine similarity: 0.9869791269302368
(255), addressbook, State1:state493, State2:state706, Human Classification:2, cosine similarity: 0.8984374403953552
(256), addressbook, State1:state403, State2:state517, Human Classification:1, cosine similarity: 0.9999999403953552
(257), addressbook, State1:state668, State2:state697, Human Classification:2, cosine similarity: 0.8984374403953552
(258), addressbook, State1:state68, State2:state514, Human Classification:2, cosine similarity: 0.9010415077209473
(259), addressbook, State1:state412, State2:state724, Human Classification:2, cosine similarity: 0.8932291269302368
(260), addressbook, State1:state275, State2:state318, Human Classification:2, cosine similarity: 0.9531248807907104
(261), addressbook, State1:state150, State2:state681, Human Classification:1, cosine similarity: 0.9427082538604736
(262), addressbook, State1:state38, State2:state344, Human Classification:2, cosine similarity: 0.8515623807907104
(263), addressbook, State1:state216, State2:state526, Human Classification:2, cosine similarity: 0.9505207538604736
(264), addressbook, State1:state16, State2:state340, Human Classification:2, cosine similarity: 0.8281248807907104
(265), addressbook, State1:state397, State2:state400, Human Classification:1, cosine similarity: 0.9999999403953552
(266), addressbook, State1:state249, State2:state340, Human Classification:2, cosine similarity: 0.8958332538604736
(267), addressbook, State1:state38, State2:state681, Human Classification:2, cosine similarity: 0.8489582538604736
(268), addressbook, State1:state249, State2:state634, Human Classification:2, cosine similarity: 0.9114581942558289
(269), addressbook, State1:state60, State2:state143, Human Classification:2, cosine similarity: 0.9739582538604736
(270), addressbook, State1:state173, State2:state443, Human Classification:2, cosine similarity: 0.8619791269302368
(271), addressbook, State1:state143, State2:state543, Human Classification:2, cosine similarity: 0.8489581942558289
(272), addressbook, State1:state173, State2:state566, Human Classification:2, cosine similarity: 0.8593748807907104
(273), addressbook, State1:state346, State2:state420, Human Classification:1, cosine similarity: 0.9921874403953552
(274), addressbook, State1:state187, State2:state724, Human Classification:2, cosine similarity: 0.9531248807907104
(275), addressbook, State1:state272, State2:state318, Human Classification:1, cosine similarity: 0.9999999403953552
(276), addressbook, State1:state432, State2:state489, Human Classification:1, cosine similarity: 0.9921873807907104
(277), addressbook, State1:state624, State2:state634, Human Classification:2, cosine similarity: 0.8802081942558289
(278), addressbook, State1:state5, State2:state566, Human Classification:2, cosine similarity: 0.8828124403953552
(279), addressbook, State1:state293, State2:state624, Human Classification:2, cosine similarity: 0.791666567325592
(280), addressbook, State1:state75, State2:state721, Human Classification:2, cosine similarity: 0.8515623807907104
(281), addressbook, State1:state141, State2:state501, Human Classification:2, cosine similarity: 0.8567706346511841
(282), addressbook, State1:state575, State2:state718, Human Classification:1, cosine similarity: 0.9999999403953552
(283), addressbook, State1:state173, State2:state315, Human Classification:2, cosine similarity: 0.8645832538604736
(284), addressbook, State1:state138, State2:state606, Human Classification:2, cosine similarity: 0.8619791269302368
(285), addressbook, State1:state64, State2:state420, Human Classification:2, cosine similarity: 0.9010415077209473
(286), addressbook, State1:state651, State2:state656, Human Classification:2, cosine similarity: 0.8333332538604736
(287), addressbook, State1:state16, State2:state656, Human Classification:2, cosine similarity: 0.8776040077209473
(288), addressbook, State1:state409, State2:state718, Human Classification:2, cosine similarity: 0.8802082538604736
(289), addressbook, State1:state443, State2:state583, Human Classification:1, cosine similarity: 0.9999999403953552
(290), addressbook, State1:state308, State2:state715, Human Classification:1, cosine similarity: 0.9895832538604736
(291), addressbook, State1:state543, State2:state715, Human Classification:2, cosine similarity: 0.8723956942558289
(292), addressbook, State1:state674, State2:state713, Human Classification:2, cosine similarity: 0.8723956942558289
(293), addressbook, State1:state162, State2:state252, Human Classification:2, cosine similarity: 0.8776040077209473
(294), addressbook, State1:state308, State2:state331, Human Classification:2, cosine similarity: 0.877604067325592
(295), addressbook, State1:state403, State2:state512, Human Classification:1, cosine similarity: 0.9999999403953552
(296), addressbook, State1:state583, State2:state624, Human Classification:2, cosine similarity: 0.8697915077209473
(297), addressbook, State1:state249, State2:state619, Human Classification:2, cosine similarity: 0.9218748807907104
(298), addressbook, State1:index, State2:state162, Human Classification:2, cosine similarity: 0.9453123807907104
(299), addressbook, State1:state455, State2:state634, Human Classification:2, cosine similarity: 0.8645831942558289
(300), addressbook, State1:state529, State2:state566, Human Classification:1, cosine similarity: 0.9999999403953552
(301), addressbook, State1:state272, State2:state593, Human Classification:2, cosine similarity: 0.8671873807907104
(302), addressbook, State1:state16, State2:state700, Human Classification:2, cosine similarity: 0.861979067325592
(303), addressbook, State1:state252, State2:state660, Human Classification:2, cosine similarity: 0.8828123807907104
(304), addressbook, State1:state331, State2:state378, Human Classification:2, cosine similarity: 0.838541567325592
(305), addressbook, State1:state479, State2:state624, Human Classification:2, cosine similarity: 0.8723956942558289
(306), addressbook, State1:state257, State2:state392, Human Classification:2, cosine similarity: 0.893229067325592
(307), addressbook, State1:state252, State2:state727, Human Classification:1, cosine similarity: 0.986979067325592
(308), addressbook, State1:state403, State2:state686, Human Classification:1, cosine similarity: 0.9973958134651184
(309), addressbook, State1:state269, State2:state278, Human Classification:2, cosine similarity: 0.8984374403953552
(310), addressbook, State1:state479, State2:state550, Human Classification:1, cosine similarity: 0.9999999403953552
